Vehicle,Sold,Delivered,Trim,Stock Number,Pricing,Msrp,Mileage,Leads,Last lead,Deals,Age
2023 BMW XM,No,No,Sports Activity Vehicle,BP9523724,95379.0,95379.0,15444,0,,0,1
2024 Mercedes-Benz AMG GT,No,No,AMG GT 63 Coupe,RU235593B,143891.0,143891.0,4587,0,,0,1
2027 MINI Countryman,No,No,Cooper S ALL4,M7V65544,44650.0,44650.0,10,0,,0,1
2021 Audi Q3,No,No,S line Premium 45 TFSI quattro,M7V69350A,28591.0000,28591.0000,11465,0,,0,1
2018 BMW 3 Series,No,No,320i Sedan South Africa,BP9152292A,19891.0,19891.0,31476,0,,0,1
2023 BMW X5,No,No,xDrive40i Sports Activity Vehicle,BP9R92148,51426.0,51426.0,23262,0,,0,1
2023 Audi e-tron,No,No,Chronos quattro,B9277088A,36992.0,36992.0,10918,0,,0,1
2024 BMW M8,No,No,Competition Convertible,B9436846A,85591.0000,85591.0000,34541,0,,0,1
2023 BMW iX,No,No,xDrive50 Sports Activity Vehicle,BPCM84963,58158.0000,58158.0000,32735,0,,0,1
2024 MINI Countryman,No,No,Cooper S FWD,BP3R44647,30542.0000,30542.0000,29361,0,,0,1
2024 BMW iX,No,No,xDrive50 Sports Activity Vehicle,BPCN12206,63159.0,63159.0,12597,0,,0,1
2026 Bentley CONTINENATL GT,No,No,,RC033475A,335891.0,335891.0,2986,0,,0,1
2027 BMW 5 Series,No,No,530i Sedan,BCX78865,69040.0,69040.0,10,0,,0,1
2021 Mercedes-Benz GLA,No,No,GLA 250 SUV,B5624796A,23981.0000,23981.0000,38967,0,,0,1
2024 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B9437388A,45291.0000,45291.0000,10539,0,,0,1
2023 BMW 7 Series,No,No,740i Sedan,BPCN10952,65449.0000,65449.0000,28420,0,,0,1
2023 BMW X3,No,No,sDrive30i Sports Activity Vehicle,B5584383A,37981.0,37981.0,22277,0,,0,1
2023 BMW i4,No,No,eDrive35 Gran Coupe,BPFP97620,39896.0,39896.0,26761,1,05/06/2026 13:06:51 +00:00,1,1
2024 Porsche Cayenne,No,No,AWD,B9433641A,79891.0,79891.0,17861,0,,1,1
2026 Rolls-Royce Ghost,No,No,Black Badge Sedan,RU235904,0.0,0.0,44,0,,0,2
2026 Bentley Continental GT,No,No,Base,RC029282,0.0,0.0,28,0,,0,2
2027 BMW M3,No,No,Competition Sedan,BFW68482,93435.0,93435.0,9,1,05/05/2026 00:00:05 -05:00,3,5
2027 BMW X7,No,No,xDrive40i Sports Activity Vehicle,B9443655,99425.0000,99425.0000,6,0,,0,5
2022 BMW X5,No,No,sDrive40i Sports Activity Vehicle,BP9184055A,35539.0000,35539.0000,60648,0,,0,5
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9443782,81900.0000,81900.0000,5,0,,0,5
2026 BMW 3 Series,No,No,330i NA Sedan,B8G40107,57090.0000,57090.0000,8,0,,0,5
2026 Rolls-Royce Cullinan,No,No,Sport Utility,RU236044,0.0,0.0,27,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454841,61730.0,61730.0,9,0,,0,5
2027 BMW X6,Yes,Yes,xDrive40i Sports Activity Coupe,B9443375,86180.0,86180.0,6,1,05/06/2026 20:35:25 +00:00,0,5
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9447141,80150.0000,80150.0000,5,0,,0,5
2026 BMW 3 Series,No,No,330i NA Sedan,B8G40230,50890.0000,50890.0000,7,0,,0,5
2026 Rolls-Royce Cullinan,No,No,Black Badge Sport Utility,RU235791,0.0,0.0,23,0,,0,5
2026 BMW X3,No,No,M50 xDrive Sports Activity Vehicle,B9455100,73630.0,73630.0,6,0,,0,5
2023 BMW X3,No,No,sDrive30i Sports Activity Vehicle,BP9217280A,34499.0000,34499.0000,28233,0,,0,5
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9443534,84400.0000,84400.0000,5,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454310,59960.0000,59960.0000,5,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454570,63780.0000,63780.0000,7,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454826,55980.0000,55980.0000,5,0,,0,5
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9445757,79150.0,79150.0,7,0,,0,5
2024 BMW X1,No,No,xDrive28i Sports Activity Vehicle,BP7T22798A,35791.0,35791.0,11013,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9453921,57110.0000,57110.0000,5,0,,0,5
2026 BMW 3 Series,No,No,330i NA Sedan,B8G39668,51490.0000,51490.0000,7,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454260,58510.0000,58510.0000,8,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454602,61630.0000,61630.0000,6,0,,0,5
2026 Rolls-Royce Cullinan,No,No,Black Badge Sport Utility,RU235992,0.0,0.0,22,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9453724,59260.0000,59260.0000,6,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9452832,60610.0000,60610.0000,9,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454534,60510.0000,60510.0000,8,0,,0,5
2026 BMW 3 Series,No,No,330i NA Sedan,B8G38982,50890.0000,50890.0000,10,0,,0,5
2026 BMW X3,No,No,M50 xDrive Sports Activity Vehicle,B9454774,75080.0000,75080.0000,9,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454765,63780.0,63780.0,5,0,,0,5
2026 BMW 3 Series,No,No,330i NA Sedan,B8G40439,57590.0,57590.0,12,0,,0,5
2023 BMW X7,No,No,xDrive40i Sports Activity Vehicle,BP9R80851,57391.0,57391.0,44129,0,,0,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454755,61080.0000,61080.0000,7,0,,1,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454173,58660.0,58660.0,8,0,,1,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9452411,58760.0,58760.0,8,0,,1,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454861,56330.0,56330.0,8,1,05/06/2026 16:05:30 +00:00,1,5
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9444202,79900.0,79900.0,7,0,,1,5
2026 BMW 3 Series,No,No,330i NA Sedan,B8G39592,57090.0,57090.0,9,1,05/05/2026 00:54:11 +00:00,1,5
2027 MINI Countryman,No,No,Cooper S ALL4,M7V70822,43950.0,43950.0,6,1,05/05/2026 19:33:57 +00:00,1,5
2022 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9413235B,42891.0,42891.0,27877,1,05/03/2026 17:51:56 +00:00,1,5
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9454392,56360.0,56360.0,5,0,,1,5
2026 BMW 2 Series,No,No,228 Gran Coupe,BP7T69700,40400.0,40400.0,5647,1,05/03/2026 14:04:03 +00:00,1,5
2027 BMW X6,No,No,xDrive40i Sports Activity Coupe,B9443852,88630.0,88630.0,5,1,05/05/2026 23:18:06 +00:00,2,5
2022 BMW X4,Yes,Yes,xDrive30i Sports Activity Coupe,BP9070700A,39473.0,39473.0,18838,3,05/06/2026 19:58:17 +00:00,3,5
2024 BMW 4 Series,No,No,M440i Gran Coupe,BPFR52078,53384.0,53384.0,29251,2,05/06/2026 16:29:21 +00:00,3,5
